year,month,illnesses,deaths,hospitalizations,state,genus_species,contaminated_ingredient,serotype_or_genotype,etiology_status,location_of_preparation,food_vehicle
2001,5,27,,,Florida,,,,,Restaurant - other or unknown type; School/college/university,"poultry, unspecified"
2015,5,2,0,0,California,,,,,Restaurant - Sit-down dining,
2014,11,6,0,0,Connecticut,Norovirus Genogroup II,,other,Confirmed,Other (describe in remarks),
2002,7,2,0,0,Alabama,,,,,Restaurant - other or unknown type,"ground beef, cheeseburger"
2005,2,3,0,0,Kansas,,,,,Private home/residence,"deli meat, sliced ham"
2002,3,3,,,California,,,,,Restaurant - other or unknown type,
2010,10,31,0,0,Oklahoma,Norovirus Genogroup II,,,Suspected,,
2001,11,2,0,0,Ohio,,,,,Restaurant - other or unknown type,"ground beef, cheeseburger"
2006,10,22,0,0,New York,,,,,Restaurant - other or unknown type,
1999,9,2,0,0,Florida,,,,,Restaurant - other or unknown type,"fajita, beef"
2001,1,22,0,3,Hawaii,Salmonella enterica,sprouts,Enteritidis,Confirmed,School/college/university,mung bean sprouts
2001,8,17,,,Ohio,Salmonella enterica,,Heidelberg,Confirmed,Private home/residence,
2010,5,4,0,0,Arizona,,,,,,
2013,7,2,0,0,California,Salmonella enterica,,Senftenberg,Confirmed,Restaurant - Sit-down dining,
2000,12,10,0,0,Texas,,,,,Restaurant - other or unknown type,
1998,2,8,,,Michigan,,,,,Restaurant - other or unknown type,pita
2009,12,4,0,0,Ohio,Norovirus Genogroup II,,GII_6,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2008,4,16,0,0,Colorado,Norovirus Genogroup I,,,Confirmed,Caterer (food prepared off-site from where served),"mushrooms, sauteed"
1999,12,6,,,New York,Listeria monocytogenes,,,Confirmed,Hospital,
2002,12,6,,,California,Other - Bacterium,,,Suspected,Restaurant - other or unknown type,
2005,1,12,,,Ohio,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
1999,11,17,,,Washington,,,,,Caterer (food prepared off-site from where served),
2000,1,24,0,0,Minnesota,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,"vegetable dip, unspecified; deli tray; celery, unspecified"
1998,11,27,,,New York,,,,,Caterer (food prepared off-site from where served),
2006,5,10,,,Washington,Campylobacter jejuni,leafy green,,Confirmed,Restaurant - other or unknown type,"ethnic style, unspecified"
1998,6,3,0,0,Florida,,,,,Restaurant - other or unknown type,"ethnic style, unspecified"
